dataset,source_log,run_id,condition,mutation_id,method,detected,any_alarm,pre_onset_alarm,normal_post30_alarm,first_alarm_s,delay_s,observation_end_s,rank,top1,top3,top5,mrr
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,67.294156,,0,0,0,0.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,False,False,False,,,67.294156,,0,0,0,0.0
development,2019-01-18__08_39_38,commander_nav_state_override__2019-01-18__08_39_38__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,False,False,False,,,67.294156,,0,0,0,0.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,92.818524,,0,0,0,0.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,False,False,False,,,92.818524,,0,0,0,0.0
development,2019-01-25__17_38_05,commander_nav_state_override__2019-01-25__17_38_05__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,False,False,False,,,92.818524,,0,0,0,0.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__baseline,normal,commander_nav_state_override,original_primary,False,False,False,False,,,96.020426,,0,0,0,0.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__baseline,normal,commander_nav_state_override,channel_gate_fixed_rank,False,False,False,False,,,96.020426,,0,0,0,0.0
development,2019-03-06__08_02_26,commander_nav_state_override__2019-03-06__08_02_26__baseline,normal,commander_nav_state_override,channel_gate_new_rank,False,False,False,False,,,96.020426,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,normal,ekf2_innovation_bias,original_primary,False,False,False,False,,,67.223759,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,False,False,False,False,,,67.223759,,0,0,0,0.0
development,2019-01-18__08_39_38,ekf2_innovation_bias__2019-01-18__08_39_38__baseline,normal,ekf2_innovation_bias,channel_gate_new_rank,False,False,False,False,,,67.223759,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,normal,ekf2_innovation_bias,original_primary,False,False,False,False,,,92.822311,,0,0,0,0.0
development,2019-01-25__17_38_05,ekf2_innovation_bias__2019-01-25__17_38_05__baseline,normal,ekf2_innovation_bias,channel_gate_fixed_rank,False,False,False,False,,,92.822311,,0,0,0,0.0
